Số 02, LK48
Tầng 5, Phòng khám đa khoa Minh Ngọc
ô A4, 22 Khu đất B2
LK4, 3
Tòa nhà INVESTCORP, Lô A15
BT3, 19 Khu đô thị Văn Khê
B24, TT Đô thị Văn Quán
Số 10, ngõ 41
Số nhà 54, ngõ 116 Nguyễn Xiển
Ta��ng 3, Lo� 01 Lie��n ke�� 2
Tầng 15, toà nhà Center Building
Số 58 ngõ 134, Đường Hòa Bình
Tầng 6, số 169 Nguyễn Ngọc Vũ
Số 44, đường Thanh Nhàn
Số nhà 35, ngõ 27
29, F
P.102 Tòa nhà Bảo tàng Hồ Chí Minh, số 143 Đốc Ngữ
33E, tổ 2
Phòng 103, lô B9/D6
Tầng 7, số 121 Bùi Thị Xuân
Số 30/100 Dịch Vọng Hậu, Phường Dịch Vọng Hậu
Tầng 2, Toà nhà PVV Vinapharm
Số 11 ngõ 3, Đường Cù Chính Lan
BT3.8 khu đô thị Viglacera, số 272 đường Hữu Hưng
Số 15, thôn Cổ Hạ
Số 17, Ngõ 18
5/68 đường Đồng Tháp 1, Thôn Đồng Vân
152 lô A4 KĐT Đại Kim, Nguyễn Cảnh Dị
Số nhà 16, hẻm 27/40/1/2 Đường Tây Mỗ
Số nhà 26 Đội 1, Thôn Quyết Tiến
Số nhà 1, Ngách 87/46 Thôn Độc Lập
Tầng 21, tòa nhà VPbank
Số nhà 86, Tổ 21
Số 35, Tổ dân phố số 10
Số 8.39, TT8 Khu nhà ở Sinh thái Xuân Phương
Số 141 Phú Đô, tổ 3
Số 28, ngõ 116 phố Miếu Đầm
Tầng 06 Tòa nhà văn phòng, số 139 Cầu Giấy
Số 18 ngõ 47, Đường Khương Trung
Tầng 1&2, tòa nhà Hanoi Aqua Central
Số 18, Lô N07A
Số 78, Phố Duy Tân
Số nhà 11, Thôn Đào Nguyên
Số nhà 23, đường Bờ Đầm
Tầng 3 shophouse P1, tòa nhà HH Imperia Plaza 360 Giải Phóng
Số 35, Ngõ 575
Số 6, Liền kề 9
Số 50, ngõ 260 phố chợ Khâm Thiên
Số nhà 19 Ngõ 686 Đường Kim Giang, Xóm Chùa Nhĩ
Số 06, LK 137
Số 22, đường Mỗ Lao
Số 01, Ngõ 9
D02, L08 Biệt thự An Vượng
Đội 18, xóm Lẻ
Số nhà 25, Dãy C3 TT Bà Triệu
Số 15, Ngõ 187
Số nhà 40A, ngõ 18 phố Khương Hạ
Tầng 7, Tòa nhà Sannam
Nhà số 8, ngõ 195/41 đường Trần Cung
Số nhà 41 đường Phú Kiều 1, Khu TĐC Kiều Mai
Số nhà 12, ngõ 195/59/14 đường Trần Cung
N009 � LK303, Khu Cổng Đồng
NO24, LK823 ngõ 1 đường Ngô Đình Mẫn
Số 12, Liền kề 12 (LK12
Tầng 1, nhà NO04LK122 khu dịch vụ Cây Quýt
Xóm 7, Thôn Yến Vỹ
Số 11, ngõ 292 Kim Giang
Số 22 ngách 108, ngõ 553 đường Giải Phóng
Tầng 5 Toà văn phòng Generalexim, số 130 đường Nguyễn Đức Cả
Số nhà 16, ngõ 93
Số nhà 1, ngõ 4
Tầng 3, T2
Số 16b, Ngách 328/60 Nguyễn Trãi
Số nhà 42, Ngõ 204 Đường Kim Giang
Số nhà K28, Ngõ 68 Trung Kính
LK16, 35 KĐT An Hưng
Thửa 158 tờ bản đồ số 54, tổ 12
Tầng 8, Tòa nhà Licogi 13
Số 849 Huyền Kỳ, Tổ dân phố 8
Lô 71, Dãy B
Dịch vụ 15, Liền kề 686 Hàng Bè
DV, 12
Số nhà 23 ngõ 18 đường Nghĩa Lộ, Tổ 6
Nhà số 4 ngách số 1, ngõ Số 7
Số 5, Ngách 402/26
Số 23, ngõ 202 đường Quyết Thắng
Lô B25, ô D7
Phòng 2407, tầng 24
Số nhà 16, Ngõ 32/49 Phố Đỗ Đức Dục
Tầng 10 toà nhà CEO, Lô HH2
Số 48, ngõ 139
Lô số 21, Khu công nghiệp Quang Minh mở rộng
Tầng 2, Số nhà 68 Ngõ 548 Nguyễn Văn Cừ
Số 9, Ngách 61/15
Số 21A4, tập thể Vi Ba
Số 3, ngõ 20 Nghĩa Đô
Số 8, Ngách 11
Số nhà 2, ngõ 48 Nguyễn Chánh
Số nhà 16 ngõ 34, tổ dân phố 5
Số 40, tổ 10
Cụm công nghiệp Yên Nghĩa, thôn Do Lộ
Số 35, Tổ 1 Văn Phú
Số 139, phố Láng Hạ
Số 16 ngõ 35, đường Lê Đức Thọ
Số 7, ngõ 52 Mỹ Đình
Số nhà 11, ngách 4
B12, 18 Vinhomes Gardenia
Số 132 đường Nguyễn Văn Giáp, tổ 15
Số 11, Lô A16 Khu đô thị Geleximco
Số nhà 64B, ngách 63/180 đường Lê Đức Thọ
Tầng 19, Tòa nhà Vinaconex 9
Tầng 12, Tòa nhà TTTM và dịch vụ Ngọc Khánh
Số 1, hẻm 252/21/4 đường Đại Mỗ
Số 24, ngõ 46
Tầng 6, Tòa nhà Sky City Tower A
Đội 2, Thôn Nhuế
Số 118, tổ 26
Số 35, ngách 111/1 Nguyễn Xiển.
Tầng 11, Tòa B
Tầng 1, tòa nhà 169 Nguyễn Ngọc Vũ
NV10, 27
Nhà 18, BT4
Tầng 10, Tòa nhà Sudico
Số 7, ngách 2
Số 1, Ngõ 1B
Phòng 601, Tầng 6
Số 4, ngõ 91/2 phố Chùa Láng
Số 29,Tổ 18 Phố Đức Giang
Số 5 BT7, Khu đô thị Vân Canh
Tầng 3, Nhà chung cư N01
Tầng 3, tòa nhà CT2 chung cư ban cơ yếu chính phủ
Số 11, Ngõ 20/2 Phố Nghĩa Đô
Tầng 4, Số 176 Đường Nguyễn Tuân
Nhà D13, ngõ 33 Lê Văn Thiêm
số nhà 35, thôn 7
Số 10A, ngách 37/23 Quan Hoa
Biệt thự F5, Số 14 Thụy Khuê
Nhà số 6/16/119 ngách 50, ngõ 310 Nghi Tàm
A33 � NV14 ô số 2, khu đô thị mới Lê Trọng Tấn
Số 15B Ngõ 4 Đường Thanh Bình, Tổ dân phố số 8
Xóm Giếng Dợ, thôn Nhân Hòa
Khu A9, Tầng 29
Số 21, Lô C9
Số 34, ngách 85/32
Nhà số 8, ngách 37/184
Tầng 4, số 229 Quang Trung
Số 8, Ngõ 8
Số 09 TT19, KĐT Văn Phú
B12B, 08 Khu chức năng ĐT thành phố Xanh
Số nhà 48, Phố Chùa Láng
Số nhà 48, ngách 46
Số 657, Ngõ 147
Số 27, Tổ 2
Số 9 ngách 1/4 ngõ 1, phố Bùi Xương Trạch
Tầng 1 tòa 4T1, lô đất CT15 Khu đô thị mới Việt Hưng
Số 9, BT15 Nguyễn Cảnh Dị
P112 nhà A, Số 37 Hùng Vương
Số nhà 15, ngõ 596 đường Hoàng Hoa Thám
Số 51, Ngõ 9
Lô A10, TT19 Khu đô thị Văn Quán
Số nhà 05A, Ngách 76/7
B33 ô 20, Khu đô thị Gelemximco
Số nhà 13, Ngõ 102
Số 41, Ngõ 26 Phố Chùa Hà
Số 5/59 ngõ 35, TDP Đông Ngạc 2
Nhà số 9, ngách 49/16
Tầng 1, Số 37 ngõ 52 đường Tô Ngọc Vân
TT5C, 14 khu đấu giá Giang Biên
Tầng 4 toà nhà HUD3 Tower, số 121
Số 322C âu Cơ, Phường Nhật Tân
Lô 20, TT4 Trần Văn Lai
Số 320 Lạc Long Quân, Phường Xuân La
308B Trường Chinh, Phường Khương Thượng
Số 376 Phố Thái Hà, Phường Trung Liệt
Số 113, Ngõ 192 Phố Lê Trọng Tấn
Số nhà 90, cụm 9
Xóm Cổng Hàng, thôn Đông Viên
Số 9A, ngõ 1
Số nhà 19, ngõ 78 Phan Xích
Nhà số 8, Tổ 27
Số 30 Ngõ 274, Phố Định Công
Tầng 2, Toà nhà Udic Complex Building
Số 151 Vương Thừa Vũ, Phường Khương Trung
Số 45, ngách 140/1
Số 43 Ngách 259/9 Phố Vọng, Phường Đồng Tâm
Xóm 4, Xã Thủy Xuân Tiên
Thôn Vu Chu, Xã Cổ Đô
Tầng 2, Số 63E ngách 180/64 Nguyễn Lương Bằng.
Tầng 3, Số 63E ngách 180/64 Nguyễn Lương Bằng
Số 12 ngõ 52 Đường Văn Minh, Phường Đội Cấn
Số 23 ngõ 4 đường Liên Xã, Thôn Hữu Lê
Khu giãn dân Yên Ngưu, Thôn Yên Ngưu
B17, 18
Số 26 đường Quyết Thắng, Phường Phú La
Số 29 ngách 435/78 ngõ 191 đường Phạm Văn Đồng, Phường Xuân Đỉnh
Tầng 16, số 54A
tầng 1 tòa Vimeco Lô E9, Đường Phạm Hùng
Số 2, Phố Khúc Thừa Dụ
22 Lô C, khu tập thể văn phòng chính phủ
Số 9, ngách 110/3 Nguyễn Hoàng Tôn
Số 4, hẻm 44/58/9 phố Đức Giang
Xóm Mỹ Lộc, Thôn Tam Mỹ
Số 119, tổ 7
Số 118A Ngõ 254 Minh Khai, Phường Mai Động
TT6.2D, 10
Số 40, Ngõ 192 Tam Trinh
Số 1B hẻm 61/20/25 Bằng Liệt, Phường Hoàng Liệt
Số 6B, tổ 1
Thôn Trung, Xã Liên Trung
Tầng 2, Tòa nhà VMQ
Nhà 246, NO
Tầng 4, tòa nhà HUD 3 Tower
S� 229C � K300, ���ng Ho�ng Qu�c Vi�t
S� 72, ng�ch 55
Nh� E, S� 98 T� Ng�c V�n
S� 12A, Ng� 47 ph� V�ng Th�
Tầng 3, số 68 Phố Trương Công Giai
Đội 1, Thôn Quyết Tiến
Đội 7, Thôn Mộc Hoàn Giáo
Lô 42C khu đấu giá, ngõ 63 đường Lê Đức Thọ
ô số 07, lô 5
Số 23, Phố Hàng Hành
Nhà số 2, hẻm 20
Nhà số 4 Ngách 62/23, Ngõ 62 Nguyễn Chí Thanh
Số 7 Ngõ 242, đường Láng
Thôn 3, Phú Sơn
Nhà số 1, Ngách 24/858 Đường Kim Giang
Số nhà 18, Ngõ 629
Số 1 Hẻm 20, Ngách 2
Số 1D ngách 4 ngõ 3 xóm Cầu, Xã Hữu Hoà
Số nhà 18 ngõ 21/50 đường Yên Xá, Xã Tân Triều
Số nhà 25, Ngách 71
Tầng 3 Số 19 liền kề 7 Thôn Yên Xá, Xã Tân Triều
Số 18 đường Phú Mỹ, thôn Vân Hồng
Số 10 Trịnh Đình Cửu, Phường Định Công
Số 44, ngõ 120 Đường Trường Chinh
Xóm Hạ, thôn Phú Vinh
Số 22 ngõ 259/47, phố Vĩnh Hưng
Số 83, ngõ 182 đường Phú Diễn
Số 11, hẻm 12
Số 29, Ngõ 85
Đội 9, Thôn Thượng Tiết
LK04, 28
Số 15, Ngõ 120
Tầng 12 tòa nhà Diamond Flower Tower, số 48 Lê Văn Lương
Số 31B, Ngõ 1 Nhân Hòa
Số 44 Ngõ Đồng, Xóm Đình Phú
Số 189, Quốc Lộ 21B
Tầng 4, số 95 Cầu Giấy
P1506B tầng 15 tòa nhà Charmvit, 117 Trần Duy Hưng
Biệt thự TT02, số 349 vũ tông Phan
Số 212B Ngô Quyền, Tổ 15
Tầng 2, Nhà Số 4
Phòng 729 nhà D, Khách sạn thể thao
Số 2 Vương Thừa Vũ, Phường Khương Trung
Số 25 ngách 225/35 ngõ 201 Thuỵ Phương, Phường Thụy Phương
Số 756 Đường Quang Trung, Phường Phú La
Xóm Đình, Thôn Yên Quán
33 Khu tập thể dược, phố Đông Quan
Tầng 14 Toà nhà Sao Mai, 19 Lê Văn Lương
Số 8 ngách 24 ngõ 15 Phương Mai, Phường Phương Mai
Số 6, ngõ 26 phố Võ Văn Dũng
Phòng 401, Tòa nhà văn phòng Ocean Park
Số 250 Nguyễn Văn Linh, Phường Thạch Bàn
Số 46TT2, KĐTM Văn Phú
P5, H4 Tổ dân phố số 8
Tầng 9, Tòa nhà VINAHUD đường Trung Yên 9
Tầng 2, Số 57 Tô Hiến Thành
BT02, Lô 01 Khu nhà ở làng Phùng Khoang
Số 136/322, đường Mỹ Đình
Tầng 16 Đơn nguyên giữa, nhà C1 Thành Công
Tầng 1, Tòa nhà Lilama 10
Kiot 9 Tầng 1, Tòa nhà 17T1
Số 1, ngõ 93 đường Phú Đô
Số 27, Ngõ 35 Lê Đức Thọ
Số 9, Tổ 12
T1, BT2 L4
Số 96A ngõ 8/11/36 Lê Quang Đạo, Tổ 1
Ki ốt số 4, tầng 1 TTTM tòa nhà CT12A
Tầng 4, căn B15 Khu nhà ở Hoàng Cầu
Tầng 22, Tòa nhà PVI
Số nhà 153A, tổ 26
Thôn Thượng, Xã Thanh Liệt
Tầng 2, nhà số 6
P2101&2106, tòa tháp Đông
Ngõ 288, thôn Dục Nội
Số 18, 6/100 phố Vĩnh Phúc
Số nhà 8, Ngõ 79/1 Đường Tự Lập
Số 2, ngách 47
Số 42, ngõ 291 phố Khương Thượng
Số 2, ngách 80/27
Số nhà 20, ngõ 15
ô Dịch Vụ 11 lô 20, Khu Đô Thị Mới Tây Nam Hồ Linh Đàm
Số nhà 43, Xóm Mỹ Đình
Số 10, Ngõ 95 Đường Định Công
Số 53, liền kề 8
Lô 21, DV04
Số 30 Ngõ An Lợi, Xóm Thắng Lợi
Ngõ Đồi Ngắn, Xóm 2
Tầng 1, Hà nội Aqua center
Số 11 Lacasta, khu đô thị văn phú
Số 69, Đường Đồng ốc
Số nhà 25, ngõ 50
Sàn dịch vụ 203, Tòa nhà CT13
Số 7, ngõ 280
Số Nhà 2A, Ngõ 251/8
Số nhà 34a, Ngõ 61 Nguyễn Văn Trỗi
Tầng 6A, Tòa nhà văn phòng Điện Biên
Khách sạn 1, 2
Khu đất X2, thôn Đồng Nhân
Số nhà 14, hẻm 102/44/33 phố Pháo Đài Láng
Số 7 ngõ 6 Kênh Giữa, xóm Chùa
Số 5, ngõ 68 Hoàng Công Chất
Số 16, Ngõ B7 Kiên Thành
Số nhà 92, khu x3 Phú Đô
Số 27, Ngõ 92 đường Nguyễn Khánh Toàn
Số 20, ngõ 26 phố Yên Lạc
Tầng 2, Số nhà 7
Villa D30 The Manor, đường Trần Văn Lai
Nhà số OV7.06, Khu đô thị Xuân Phương Viglacera
Nhà E, Trường Đại học Mỏ
Số 21, ngõ 1 Giảng Võ
Số 11, ngõ 310 đường Nghi Tàm
Số 72, Đường Nguyễn Khiết
Biệt thự LK4, SL 14 Lô TT95
NV1, 3
Tầng 8 Tòa nhà Plaschem, số 562 Nguyễn Văn Cừ
Số 3, Ngách 44/107 Đường Hữu Hưng
P505, Tòa nhà Thắng Lợi
Số 2, Ngách 36/23 Phố Miếu Đầm
Số 8, Ngõ 129
Số 14, Ngõ 63
Tầng 14, tòa nhà Vinaconex 9
Tòa nhà Anh Việt, số 33
Số 26, ngõ 80 Đường Hoàng Đạo Thành
Tầng 12A, 14
Số nhà 27, ngõ 54/4 đường Ngọc Hồi
Tầng 6, Khối văn phòng A
Số 138, Phố Nguyễn Thái Học
Số nhà 15, Khu tập thể Khu B Viện Nghiên cứu rau quả
Thửa 54, lô TT5
BT5.01, Khu chức năng đô thị Xuân Phương
Phòng 3505A, Tòa W1
Số 37, Ngõ 35 Đường Nguyễn Công Trứ
Tầng 2, CT3
Số nhà 10, ngõ 1 đường Tây Cao Tốc
Số 274, Tổ 22
Số 2, Ngách 178/55 Tây Sơn
Tầng 2, số 2 ngách 62 ngõ 123 Yên Xá
Phòng 403, Tầng 4
Số 27, ngõ 46
Số nhà 17, ngõ 168/42 đường Phan Trọng Tuệ
Số 28 Vũ Phạm Hàm, Phường Trung Hoà
Số nhà 07, ngõ 22
ô số 24, Lô 1.A.I.2
Số 159 Tổ 1, Thị trấn Quang Minh
Tầng 8, Tòa nhà Sunrise
NT08, 143
Tòa nhà số 65, ngõ 54
Số 2, Ngõ 82
Số 26 ngõ 39 đường Đại Linh, TDP 17
Tầng 14 Tòa nhà Việt, Số 1 Phố Thái Hà
Số ô I, A2 TT1
TT20, 57
P1201, 2
Số B7, tập thể Văn Hòa
Biệt thự 12, BT2
Số nhà 23, phố Chùa Thông
Số 2 ngõ 105, đường Trần Quốc Vượng
TT1A, ngõ 622 Vĩnh Tuy
Tầng 7, số 4 ngõ 82 Dịch Vọng Hậu
TT12A, Lô 7
Số 14, Dãy E
Nhà số 6A ngách 40, ngõ Thái Thịnh 1
Tầng 12, tòa nhà MIPEC
P.OF03, 03 tầng 3 D/án Vinhome Westpoint
Số 34, ngõ 45 phố Hào Nam
Phòng 3, nhà D
Số nhà 15A, ngõ 105
Số 18, Xóm 1 Thôn La Tinh
Nhà số 7, Ngõ 14/76 Mễ Trì Hạ
B16, BT2
Tầng 1, Ha Noi Aqua Central
Số nhà 5C, Hẻm 44/1/24
Số 27, ngách 28/9 Võ Chí Công
Tầng 5, Số 5/dãy D
Phòng 701 Lô D17, ngách 8 ngõ 76 Duy Tân
Phòng 301, tầng 3
Số 32 Lô TT02 Khu đô thị Moncity, Phường Mỹ Đình 2
UPGen Tầng 8, Toà nhà Kim khí Thăng Long
Số 3 Ngách 4, Ngõ 376
Số 2, ngõ 291/23
Tầng 6 Tòa nhà Việt á, Phố Duy Tân
Xóm Chùa, thôn Trung Cao
Lô OBT1, ô số 20 Bắc Linh Đàm mở rộng
Ngõ 7, Thôn 5
Số 05/91/78 Đường Hoàng Xá, Tổ dân phố Đình Tổ
Tầng 4, Tổ hợp chung cư N01
Số 65B đường Trung Sơn Trầm, Khu phố 3
Xóm Giao, Thôn Mỹ Lương
Số 42, Đường Giữa
Số nhà 12, ngách 250/80/144/14
Số 1 B1, TT Cục KTNV2 BCA
phòng 2, tầng 3A
Shophouse H4, TM1
Số 10, phố Quan Nhân
TT3, A14 KĐT Văn Quán
Số Nhà 31, Ngõ 303
Số nhà 16, ngách 43
Số 12, ngõ 12 Đỗ Quang
Tầng 4M khu căn hộ, tòa tháp đôi Hòa Bình
Số nhà 54, Đường Phụ Nữ
Số 38 Ngõ 219 Nguyễn Ngọc Vũ, Tổ 11
Tầng 1 Tòa văn phòng T26, Khu đô thị Times City
Số 5, ngách 63/5/29
Số 15, C19 đường Phùng Hưng
Số 23, Lô 4
Số 19, Ngõ 34
Số 22, ngõ 53
Xóm Núi, Thôn 4
Số 6, ngách 14 ngõ 406 đường Hồ Tùng Mậu
Số nhà 11, tổ dân phố số 8
Số 1 BT13, Khu đô thị LIDECO
Số 28, ngõ 8/236/11 đường Lê Quang Đạo
Tầng 6 tòa nhà Lucky Building, số 81 đường Trần Thái Tông
Số 15, ngõ 259 Phố Yên Hòa
Số 33, Lô TT02
Số 121 ngõ 6, TDP 2 Miêu Nha
Tầng 7, Số 43 Nguyễn Thượng Hiền
Tầng 3, Tòa GP Invest
Số 9, ngách 36
Số nhà 198, Đường 3
Tầng 7 Tòa nhà Sannam, số 78 phố Duy Tân
Số nhà 11B, ngõ 89
Số nhà 12, Khu tập thể X1
Số nhà 123 Đường Hòa Bình, Tổ 15
Xóm 7A, Thôn Yên Ngưu
Số 5, ngõ 116
Khu Vệ Lăng, Cây Sung
Số nhà C1/66 ngõ Thông Phong, phố Tôn Đức Thắng
Số 51, ngõ 26 Đường Nguyên Hồng
Số 17, ngách 17
Số 6, phố Hoa Lư
Số 41, Tổ 2
Tầng 1, Số 4 ngõ Simco
Tầng 7, tòa nhà văn phòng 1
BT3, 4 Khu nhà ở cho CBCS Cục B42
Số 10, ngách 20 ngõ 101 Hào Nam
Tầng 1, Số 4 nhà B
Số 12A, TT1
Số 174, Đường Xuân Phương
Số 11, Ngách 467/139/34 đường Lĩnh Nam
Lô TT02, 05 khu đô thị Mon City
Số 9, Ngõ 7 Lê Đức Thọ
Tầng 2, tòa nhà CT3
Số 283, đường Trung Văn
Vp 19, tầng 2
Số nhà 9, ngách 22
Tầng 14, Tòa nhà Hapro Building
Số 16, ngõ 1
Số 37B, ngách 72/73/40 Quan Nhân
Nhà số 15, khu BT3
Số 28A ngách 53, ngõ 68 Cầu Giấy
Số 6, ngách 2
Tầng 4, Tòa nhà Vimeco
Số 11 ngõ 69, đường Nguyễn Hoàng
Số 22B, Ngách 113/42 Yên Hòa
Số 144 đường F1, Tổ 1
Số 156A, 156B
S� 3, ng�ch 310/15 Nghi T�m
Khu đất CT8, KĐT mới Mỹ Đình
Tầng 6 số nhà 14, ngõ 121 đường Thái Hà
Số 11, Ngách 24
Tầng 1,2 Tòa C Chung cư T&T
Số 101, 201 Đơn Nguyên 3
Số 129, Đường Hoàng Công Chất
Số 11, ngách 3/9 ngõ 160 Phan Trọng Tuệ
Số nhà 10C, Ngách 1
Đội 2, Lạc Thị
Tầng 12, P1219 Vinhomes Greenbay G3
Phòng 902, tầng 9
Số 67 đường Cầu Giấy, Tổ 10
Số 5 Ngách 21 Ngõ 175, Đường Hữu Hưng
Tầng 23, Tháp CEO
Số 11, Biệt thự BT15
Xóm 3, Thôn Xuân Dục
Số 2.17, lô TT2
Số 61, ngách 53/58
Số 10, Tổ 4 Phố Phú Đô
Cụm 2, thôn Quỳnh Đô
Số 112, ngõ 203 Hoàng Quốc Việt
Thôn Nhị Châu, Xã Liên Ninh
P.219, Tầng 2
Lk848, Dv19
Số 3 ngõ 40, Đường Cầu Cá
Nhà NV3 Khu đô thị Trung Văn, Đường Tố Hữu
Phòng 2135 Tòa G3 dự án Vinhomes Green Bay, số 7 Đại Lộ Thăn
Tầng 21, Tòa nhà Capital Tower
Nhà T11, A62
Tầng 12, tháp C
Km số 8, Đường Bắc Thăng Long Nội Bài
Xóm Trại, Thôn Lương Nỗ
Tầng 3, Số nhà 8 đường phố Tràng Thi
Tầng 3 Số A105, BT2A
Tầng 6, số 4 Phạm Ngũ Lão
106A1, số nhà 10 ngõ 42 Trần Cung
Tòa nhà CT5, X2
Đội 7, Thôn Ngọc Hồi
Số 18/123 Đường Hoàng Quốc Việt, Tổ 42
Số 2D6 ngõ 11 Khuất Duy Tiến, Phường Thanh Xuân Bắc
Bi�t th� H�i �u 1, 65 Khu �� th� Vinhomes Ocean Park
s� nh� 16, ng� 1 ���ng Chi�n Th�ng
S� nh� 6, Ng� 11
T�ng 21, T�a nh� Capital Tower
S� 61, Khu C�ng nghi�p l�ng ngh� T�n H�i
S� 55, Ng� 54 L� Quang ��o
Nh� 5 L� 7, Khu �� th� An L�c
S� nh� 25 H�m 28/106/25, Ng�ch 28/106
DV05, LK289
Tầng 1, Số 10B
Số 6, ngách 22
S1.01, 3308A
Số 11 ngách 186/25/10 đường Phan Trọng Tuệ, Xã Tam Hiệp
Gian hàng kinh doanh số SO02, tòa nhà S1
Tầng 4, Tòa B2
Tầng 04, Số 12 Phố Đồng Me
Số 1 ngách 159/37 đường Phùng Khoang, Phường Trung Văn
S� 34D ng� 1, ���ng ��i M�
Số 7 Lạc Trung, Phường Vĩnh Tuy
Số 10, Khu công nghiệp Quang Minh 2
Số 16, ngõ 139 đường Mỹ Đình
Số nhà 18, ngõ 4
Số 6, lô 4C
Số 132 Phố Vọng, tổ 6
Tầng 6, Tòa nhà Sunshine Center
Tầng 9, Tòa nhà Sunshine Center
OF03, 11
Tầng 2, Số 3B
Unit 1911, tầng 19 Keangnam Hà Nội Landmark Tower
Tầng 9, số 5 Điện Biên Phủ
Tòa nhà Gia Tộc Việt,Số 138 Bát Tràng
Số 2, ngõ 2 ngách 4 Hữu Thanh Oai
R5.18, Dự án nhà ở thấp tầng
Số nhà 92 đường Định Công Thượng, Xóm 7
Tầng 9, Tòa nhà VTV
Số 05, BT5
Số 4, hẻm 135/62/17 TDP Lò
Số 211, tổ 4
Số 5, đường Bờ Tây Sông Nhuệ
số 20, Khu C17
TT12, C20 Khu đô thị Văn Quán
Số 21, Liền Kề 1
C25, Khu đấu giá QSD đất Man Bồi � Gốc Găng
Số nhà 28, Ngõ 1181
NO28, Lô 31
NQ25, 28
Số 300, phố Thái Hà
Tầng 3, số nhà 40
số nhà 3, ngách 31
Số 1A, Ngách 358/28
Số nhà 21, Ngõ 39
Tầng 9, Số 21 Lê Đức Thọ
Số 68, phố Huế
Phòng 717, Tầng 7
N13, LK19 Khu Văn La
Xóm 3, thôn 1
Lô A1/ D21, Khu Đô Thị Mới Cầu Giấy
Nhà A16, X3
Lô số 02, ô dịch vụ 11
Xóm 4, thôn Tình Lam
Số 24 ngõ 570, đường Kim Giang
Khu Đồng Đỗi, Thôn Duyên Trường
Thôn Phúc Lộc, Xã Uy Nỗ
Số 26A, ngõ 242 đường Lâm Tiên
Phòng 408, tầng 4
Số 2, ngách 71
Tầng 1, Tòa nhà Vimeco
Tầng 3, tòa nhà VTC online
Số 5, ngõ 172 đường Lạc Long Quân
tầng 29 Ngọc Khánh Plaza, số 1 Phạm Huy Thông
Số 51, ngõ 158/124
Ngõ 24 Đường lý Sơn, Tổ 8
Số 54, Ngõ Thống Nhất
Lô V10 � A11 The Terra An Hưng, số 102 đường Nguyễn Thanh Bì
Số nhà 37, Tổ dân phố số 1 ( gần đường Lương Thế Vinh)
Số 2, C2 DA nhà ở Cầu Diễn
Số 19, Ngõ 382 Đường Hồ Tùng Mậu
Phòng 2315Register05, Tầng 23
Zone 01, Tầng 04
Số 25, Ngõ 165
Tầng 16, Tòa nhà Trung tâm thương mại Daeha
655, đường Phạm Văn Đồng
Số 36 Ngõ 1277 Giải Phóng, Tổ 10
Nhà số 14, ngách 26/18 ngõ Độc Lập
Số nhà 3, đường Phạm Văn Đồng
G3, 2718 Vinhomes Greenbay
Số 06 Nhà G Khu Tập Thể cơ khí Đại Mỗ, Phường Tây Mỗ
Số 26, ngách 1994/90 đường Láng
Tầng 4, Toà nhà số 101A Nguyễn Khuyến
Tầng 16, Tòa nhà Daeha Business Center
Phòng 402, tầng 4
Khu 6, Thụy Lôi
Số 4, ngõ 38A Trần Phú
70 ngõ Núi Trúc, phố Giang Văn Minh
Số nhà 11A, đường 2.2
Số 4 Ngách 2/3, Ngõ 3 Đường Thanh Lãm
Tầng 2, Số 9 Đặng Thùy Trâm
Số 10, ngõ 48 đường Đàm Quang Trung
Tầng 1, CT02 Khu nhà ở cán bộ viện 103
Tầng 11, tòa nhà đa năng 169 Nguyễn Ngọc Vũ
Số 117, ngõ 765 đường Nguyễn Văn Linh
Tầng 3 số 138, phố Mễ Trì Thượng
Tầng 3, nhà số 28/460 Khương Đình
Số nhà 9, ngõ 298/127 đường Ngọc Hồi
Số 1, ngách 2 ngõ 1
Tầng 3, Toà nhà GP Invest
Tầng 2, Thửa 56
Liền kề 16, 07
Số 51, ngõ 87 đường Tân Xuân
Số 15, ngách 32
Số nhà 11/174/15 Phương Canh, Phường Xuân Phương
Số nhà 70, đường Giáp Nhất
Phòng C16 Tầng 12, Tòa nhà văn phòng Mipec Tower
Số 25, tổ 71
Số Nhà 156, Đường Đông Mỹ
Số nhà 18 Đường Cốm Vòng, Tổ 16
Số 54B, ngách 2
Tầng 6 Tòa Nhà Việt á, Số 9 Phố Duy Tân
Tầng 1, tòa nhà A2D3
Phố Đại Đồng, thôn Tế Tiêu
Số 15, ngách 23
Số 6 ngõ 147B, Đường Tân Mai
Số 87, ngõ 35
Số 42 Ngõ 486, TDP Cáo Đỉnh 4
Số 6, ngách 279/39 Hoàng Mai
Số 9, ngách 52
Số 20, ngõ 264
Số nhà 98, Thôn Song Khê
Căn hộ CC 1515A, B2
D26, khu đấu giá QSD đất Ngô Thì Nhậm
TT4, 25 khu đấu giá Kim Quan
Số 151 Lô C3, Khu đô thị Đại Kim
Số 15, ngõ 70
Số 1, ngõ Hàng Lọng
Nhà số 15, Tổ 5 Phố Giang Biên
Kiot 15, Tầng 1
Số 15 Liền kề 11B, Khu Đô thị mới Mỗ Lao
BT2 lô 23,Khu Đô Thị Mễ Trì Hạ
Số 23, ngách 61/112
Biệt thự 31, ngõ 70 Nguyễn Thị Định
Phòng 3406, Tòa C5 D�Capitale
Lô 07, TT08 Khu đô thị Sinh thái Xuân Phương
